,price_in_euro,power_ps,mileage_in_km,age
price_in_euro,1.0,0.6694973119710266,-0.3097785699847941,-0.32296407460300885
power_ps,0.6694973119710266,1.0,-0.04558252232843012,-0.0896923521484556
mileage_in_km,-0.3097785699847941,-0.04558252232843012,1.0,0.7176389058333353
age,-0.32296407460300885,-0.0896923521484556,0.7176389058333353,1.0
